title,release_date,popularity,genre_ids,vote_average
Battleship,2012-04-11,36.214,"[53, 28, 12, 878]",5.824
Shot Caller,2017-07-13,38.716,"[80, 18, 53]",6.934
Insidious: Chapter 2,2013-09-12,31.961,"[27, 53]",6.671
The Menu,2022-11-17,49.498,"[35, 53, 27]",7.2
The Interview,2014-12-25,43.341,"[28, 35]",6.19
Final Destination 2,2003-01-31,36.454,"[27, 9648]",6.237
Skyfall,2012-10-24,38.205,"[28, 12, 53]",7.234
"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends",2014-12-31,42.454,"[16, 28, 12, 35, 14]",7.0
Butcher's Crossing,2023-02-03,47.411,"[37, 18]",5.8
Blue Is the Warmest Color,2013-10-09,40.102,"[10749, 18]",7.088
Ocean's Eight,2018-06-07,40.082,"[80, 35, 28]",7.0
The Emoji Movie,2017-07-23,40.077,"[16, 10751, 35]",5.463
Peter Rabbit 2: The Runaway,2021-03-25,40.068,"[10751, 35, 12, 16, 14]",7.126
Saint Seiya: The Heated Battle of the Gods,1988-03-12,40.062,"[28, 16, 14]",7.6
The Unbearable Weight of Massive Talent,2022-04-20,40.057,"[28, 35, 80]",6.787
Jeepers Creepers 2,2003-08-08,40.048,"[27, 53]",6.1
The Matrix Reloaded,2003-05-15,40.04,"[12, 28, 53, 878]",7.042
Braveheart,1995-05-24,40.039,"[28, 18, 36, 10752]",7.94
Never Back Down: No Surrender,2016-06-05,40.037,"[18, 28]",7.045
Flamin' Hot,2023-03-11,40.033,"[35, 18]",8.112
Watchmen,2009-03-04,40.031,"[28, 9648, 878]",7.337
The Great Gatsby,2013-05-09,40.013,"[18, 10749]",7.374
You Only Live Twice,1967-06-13,40.012,"[28, 53, 12]",6.6
Murder on the Orient Express,2017-11-03,40.011,"[9648, 18, 80]",6.711
Olympus Has Fallen,2013-03-20,39.979,"[28, 53]",6.394
Rocky Balboa,2006-12-20,39.926,[18],6.864
Awareness,2023-03-16,39.919,"[878, 9648, 53, 28]",5.822
Superman,1978-12-14,39.895,"[878, 28, 12]",7.125
Aporia,2023-08-11,39.888,"[878, 18]",6.173
Mad Max,1979-04-12,37.389,"[12, 28, 53, 878]",6.7
Who Framed Roger Rabbit,1988-06-21,36.139,"[14, 16, 35, 80]",7.521
Encanto at the Hollywood Bowl,2022-12-28,38.93,"[10402, 99]",7.079
Trainwreck,2015-07-17,33.442,"[35, 10749]",5.798
Shaolin Soccer,2001-07-05,36.132,"[28, 35]",7.088
Conan the Barbarian,1982-04-02,30.374,"[12, 14, 28]",6.8
One Week Friends,2022-06-18,53.905,[18],5.7
Road to Ninja: Naruto the Movie,2012-07-28,41.376,"[16, 14, 28]",7.581
Oblivion,2013-04-10,38.375,"[28, 878, 12, 9648]",6.627
Riley's First Date?,2015-11-03,28.377,"[16, 10751]",7.145
Saw III,2006-10-26,36.373,"[27, 53, 80]",6.4
Beetlejuice,1988-03-30,45.617,"[14, 35]",7.382
Accident Man: Hitman's Holiday,2022-10-14,41.653,"[28, 35, 80]",6.447
Underwater,2020-01-08,47.623,"[27, 878, 28, 12]",6.284
Star Wars: Episode I - The Phantom Menace,1999-05-19,36.828,"[12, 28, 878]",6.541
The Ballad of Buster Scruggs,2018-11-09,32.867,"[37, 35, 18]",7.142
Happy-Go-Lucky Days,2020-10-23,46.923,"[16, 18, 10749]",5.2
Monster High 2,2023-10-05,38.96,"[10751, 14, 878, 10770]",7.105
Love Lies Bleeding,2024-03-08,45.697,"[80, 10749, 53]",0.0
Solo: A Star Wars Story,2018-05-15,44.361,"[878, 12, 28]",6.561
Alice Through the Looking Glass,2016-05-25,40.771,"[12, 10751, 14]",6.558
Stillwater,2021-07-29,34.634,"[18, 80, 53]",6.653
Highlander,1986-03-07,40.739,"[12, 28, 14]",6.9
Beautiful Disaster,2023-04-04,40.721,"[10749, 18, 35]",6.606
The Invisible Guest,2017-01-06,40.71,"[18, 9648, 53]",8.124
Faster,2010-11-23,40.702,"[80, 18, 28, 53]",6.325
Willy's Wonderland,2021-02-12,32.619,"[28, 27, 35]",6.06
The Wind Rises,2013-07-20,30.857,"[18, 16, 10752]",7.781
"Crazy, Stupid, Love.",2011-07-29,40.684,"[35, 18, 10749]",7.259
"Lyle, Lyle, Crocodile",2022-10-07,40.644,"[35, 10751, 10402]",7.157
Grease,1978-07-07,40.611,"[10749, 35]",7.4
The Help,2011-08-09,40.584,[18],8.203
The Mist,2007-11-21,40.575,"[27, 878, 53]",6.921
The Last Samurai,2003-12-05,40.556,"[18, 28, 10752]",7.581
Finestkind,2023-09-08,38.202,"[80, 18, 53]",7.14
G.I. Joe: The Rise of Cobra,2009-08-03,40.521,"[12, 28, 53, 878]",5.769
Pokémon Detective Pikachu,2019-05-03,40.506,"[28, 12, 14]",6.94
Kiki's Delivery Service,1989-07-29,40.493,"[16, 10751, 14]",7.8
Sex and the City,2008-05-12,40.486,"[35, 18, 10749]",6.572
12 Angry Men,1957-04-10,40.481,[18],8.549
No Exit,2022-02-25,41.33,"[53, 9648, 27]",6.915
Drag Me to Hell,2009-05-27,38.556,"[27, 53]",6.416
Thunderball,1965-12-11,31.302,"[12, 28, 53]",6.656
The Hunchback of Notre Dame,1996-06-21,33.3,"[18, 16, 10751]",7.105
6 Underground,2019-12-13,42.059,"[28, 35, 53]",6.346
Charlie's Angels,2019-11-14,36.304,"[28, 12, 35]",6.5
Air,2023-04-05,35.098,[18],7.366
Death on the Nile,2022-02-09,39.062,"[9648, 80, 53]",6.446
The Secret World of Arrietty,2010-07-16,32.788,"[14, 16, 10751]",7.649
"Snoopy Presents: Welcome Home, Franklin",2024-02-15,45.233,"[16, 10751, 10770]",10.0
Beneath the Planet of the Apes,1970-04-23,37.283,"[12, 878, 9648]",6.199
Teen Wolf: The Movie,2023-01-18,38.331,"[28, 14, 10770]",7.559
The Chronicles of Narnia: Prince Caspian,2008-05-15,45.534,"[12, 10751, 14]",6.62
The Pursuit of Happyness,2006-12-14,47.034,[18],7.9
Cinderella III: A Twist in Time,2007-02-06,33.781,"[16, 10749, 10751, 14]",6.522
Spy Kids: Armageddon,2023-09-22,38.911,"[10751, 35, 12, 878]",6.322
Exploits of a Young Don Juan,1986-11-04,29.155,"[35, 18]",5.6
Jumanji: Welcome to the Jungle,2017-12-09,39.394,"[12, 35, 14]",6.826
Warrior,2011-09-09,44.27,"[18, 28]",7.844
The Empire Strikes Back,1980-05-20,34.487,"[12, 28, 878]",8.391
Alvin and the Chipmunks: The Road Chip,2015-12-17,35.379,"[12, 16, 35, 10751]",6.025
The Usual Suspects,1995-07-19,42.492,"[18, 80, 53]",8.188
Wild Card,2015-01-14,34.118,"[53, 80, 28]",5.639
On the Edge,2006-11-24,36.716,[18],4.4
Don't Worry Darling,2022-09-21,28.651,"[53, 9648, 18]",6.801
SPY x FAMILY CODE: White,2023-12-22,33.078,"[16, 35, 12, 28]",7.1
Mad Max 2,1981-12-24,42.391,"[12, 28, 53, 878]",7.386
The Monkey King,2023-08-11,39.46,"[16, 14, 12, 10751, 35]",6.753
The Garfield Movie,2024-05-23,34.065,"[16, 35, 10751]",0.0
Fresh,2022-03-03,34.381,"[27, 53]",6.997
The Hijacking of Flight 375,2023-12-07,34.548,"[53, 18]",8.25
The Loft,2014-10-14,33.044,[53],6.412
El Infierno,2010-09-03,43.35,"[18, 80, 35]",7.851
Horrible Bosses 2,2014-11-12,42.302,[35],6.182
Cold Pursuit,2019-02-07,36.851,"[35, 28, 80, 53]",5.799
Corpus Christi,2019-09-10,33.602,[18],7.7
Deep Sea Mutant Snake,2022-08-27,47.686,"[53, 14, 27]",7.0
Jason Bourne,2016-07-27,35.096,"[28, 53, 9648, 18]",6.3
A Silent Voice: The Movie,2016-09-17,42.257,"[16, 18]",8.383
Wind River,2017-08-03,39.833,"[80, 18, 9648, 53]",7.433
The Five,2023-01-07,45.81,[37],6.889
Hereditary,2018-06-07,50.23,"[27, 9648, 53]",7.3
17 Again,2009-03-11,36.222,"[35, 14, 18, 10749]",6.294
The Marsh King's Daughter,2023-09-28,31.107,"[80, 18, 9648, 53]",6.587
Alvin and the Chipmunks: The Squeakquel,2009-12-21,41.219,"[35, 10751, 16, 14, 10402]",5.629
Once Upon a Studio,2023-09-24,36.1,"[16, 10751, 14, 35]",8.324
The Angry Birds Movie,2016-05-11,32.967,"[16, 12, 35, 10751]",6.212
Memento,2000-10-11,34.711,"[9648, 53]",8.187
"Paul, Apostle of Christ",2018-03-23,38.463,[18],7.5
Marmalade,2024-02-08,39.822,"[80, 10749, 18]",7.571
Joseph: King of Dreams,2000-11-07,34.454,"[10751, 16, 14]",6.804
War of the Worlds,2005-06-28,41.203,"[12, 53, 878]",6.502
Chicken Little,2005-11-04,30.701,"[16, 10751, 35]",5.884
Lights Out,2024-02-16,44.64,"[28, 53]",4.0
The Marksman,2021-01-15,38.21,"[28, 18, 53]",6.9
Life of Pi,2012-11-20,34.196,"[12, 18]",7.397
Peninsula,2020-07-15,37.453,"[27, 12, 28, 53]",6.76
Mortal Engines,2018-11-27,37.694,"[12, 878]",6.19
Now You See Me 2,2016-06-02,39.188,"[80, 53, 28, 9648]",6.828
The Fault in Our Stars,2014-05-16,37.185,"[10749, 18]",7.595
"The Boy, the Mole, the Fox and the Horse",2022-12-25,29.975,"[16, 10751, 12, 14]",8.295
Jashin-chan Dropkick [Seikimatsu-hen],2023-12-27,47.081,"[35, 16, 28, 12]",0.5
Saw 3D,2010-10-22,32.676,"[27, 80]",6.0
Don't Look Up,2021-12-07,32.192,"[35, 878, 18]",7.12
Tropic Thunder,2008-08-09,34.921,"[28, 35, 12, 10752]",6.657
Foe,2023-10-06,34.064,"[878, 9648, 53, 18]",5.578
Jeepers Creepers 3,2017-09-26,33.674,"[27, 9648, 53]",4.903
Drive,2011-09-15,40.416,"[18, 53, 80]",7.574
Central Intelligence,2016-06-16,34.666,"[28, 35, 80, 9648]",6.414
Back to the Future Part II,1989-11-22,30.868,"[12, 35, 878]",7.758
Lara Croft: Tomb Raider,2001-06-11,44.155,"[12, 14, 28, 53]",5.9
House of Wax,2005-05-05,33.904,"[9648, 27, 53]",5.955
Van Helsing,2004-05-03,38.403,"[27, 12, 28]",6.3
Monsters vs Aliens,2009-03-19,30.402,"[16, 10751, 12, 878]",6.211
Amazonia: The Catherine Miles Story,1985-08-09,44.399,"[12, 18, 27]",6.058
Spiral: From the Book of Saw,2021-05-12,33.915,"[27, 80, 9648]",5.992
The Devil's Advocate,1997-10-17,37.646,"[18, 9648, 53, 27]",7.456
The Iron Giant,1999-08-06,41.395,"[10751, 16, 878, 12]",7.933
The Princess Diaries,2001-08-03,39.645,"[35, 10751, 10749]",6.9
Little Women,2019-12-25,32.403,"[18, 10749]",7.893
The Angry Birds Movie 2,2019-08-02,41.573,"[16, 35, 12, 10751]",7.097
Pleasure,2021-10-08,32.329,[18],6.263
Pokémon the Movie: I Choose You!,2017-07-15,31.814,"[10751, 16, 12, 14]",7.0
Vanguard,2020-09-30,37.571,"[35, 53, 28, 12]",6.284
Shark Tale,2004-09-20,42.034,"[16, 28, 35, 10751]",6.023
Coast,2022-04-08,42.011,[18],4.7
The Karate Kid,2010-06-10,41.552,"[28, 12, 18, 10751]",6.53
A Dog's Way Home,2019-01-10,25.807,"[18, 12, 10751]",7.358
Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,41.983,"[12, 28]",6.004
Annabelle,2014-10-02,34.244,[27],5.767
Ghostbusters,2016-07-14,33.296,"[28, 14, 35]",5.363
Brothers,2009-12-02,41.918,"[18, 53, 10752]",7.319
Alvin and the Chipmunks,2007-12-13,41.899,"[35, 10751, 14, 16]",5.806
Toy Guardians,2017-08-04,44.001,"[16, 10751]",6.8
Barbie as The Princess & the Pauper,2004-09-28,38.032,"[16, 10751, 35]",7.465
The Lake,2022-08-18,38.915,"[27, 878, 53]",5.893
Old,2021-07-21,32.297,"[53, 9648, 27]",6.364
The Second Wife,1998-11-05,41.799,"[35, 10749]",5.2
The Sidemen Story,2024-02-14,32.744,[99],0.0
The Darkest Minds,2018-07-25,33.768,"[28, 12, 18]",7.037
Ready or Not,2019-08-21,36.114,"[35, 27, 53]",7.061
Naruto Shippuden the Movie: Bonds,2008-08-02,31.353,"[14, 16, 28]",7.2
"As Above, So Below",2014-08-14,33.105,"[27, 53]",6.674
"I, Robot",2004-07-15,40.852,"[28, 878]",6.942
Paprika,1991-02-13,35.46,[18],6.96
Merry Little Batman,2023-12-08,45.125,"[16, 28, 10751, 35]",6.7
Alvin and the Chipmunks: Chipwrecked,2011-12-14,33.351,"[35, 14, 10751, 10402, 16]",5.705
Nanny McPhee,2005-10-21,37.348,"[14, 35, 10751]",6.652
50 First Dates,2004-02-13,39.595,"[35, 10749]",6.858
The Thing,1982-06-25,44.843,"[27, 9648, 878]",8.057
Batman Returns,1992-06-19,35.841,"[28, 14]",6.918
Sayen,2023-03-03,35.086,"[28, 12]",6.199
The New Guy,2002-05-10,36.841,[35],5.953
Bleeding Love,2024-02-16,43.932,[18],6.0
Last Summer,2023-09-13,33.873,"[18, 53]",6.0
Scooby-Doo! The Mystery Begins,2009-09-13,41.339,"[9648, 35, 14]",6.409
The Burial,2023-10-06,29.98,"[35, 18]",7.23
A Dog's Journey,2019-05-03,33.592,"[10751, 12, 18]",8.051
Friday the 13th Part III,1982-08-13,36.082,"[27, 53]",5.87
Miracles from Heaven,2016-03-17,38.332,"[10751, 18]",7.421
Mortal Engines,2018-11-27,37.694,"[12, 878]",6.19
American Pie Presents: The Book of Love,2009-12-07,37.682,[35],5.273
Pinocchio,2022-09-07,37.68,"[14, 12, 10751]",6.398
The Skin I Live In,2011-08-17,37.649,"[18, 27, 9648, 53]",7.519
Baise-moi,2000-06-28,37.647,"[80, 18, 10749, 53]",4.814
The Devil's Advocate,1997-10-17,37.646,"[18, 9648, 53, 27]",7.5
Solace,2015-09-03,37.622,"[53, 80, 9648]",6.396
Jeepers Creepers,2001-07-01,37.613,"[27, 53, 9648]",6.451
Mary Magdalene,2018-03-15,37.607,"[18, 14]",6.298
Control Zeta,2023-04-27,37.601,"[28, 878, 80]",3.0
The Velveteen Rabbit,2023-11-21,37.598,"[16, 10751, 14]",6.95
Dr. No,1962-10-07,37.582,"[12, 28, 53]",7.0
Big George Foreman,2023-04-27,37.579,"[36, 18]",7.64
Fantastic Four,2015-08-05,37.577,"[28, 12, 878]",4.418
Vanguard,2020-09-30,37.571,"[35, 53, 28, 12]",6.284
Independence Day,1996-06-25,37.557,"[28, 12, 878]",6.874
Apocalypse Now,1979-08-15,37.551,"[18, 10752]",8.282
Powerless King,1981-08-29,37.507,[],0.0
No Escape,2015-08-26,37.496,[53],6.912
Tinker Bell and the Great Fairy Rescue,2010-07-29,37.484,"[16, 12, 10751, 14]",6.729
Marrowbone,2017-10-27,27.288,"[53, 27, 18, 9648]",7.256
Along with the Gods: The Two Worlds,2017-12-20,46.786,"[28, 12, 18, 14, 53, 9648]",8.084
xXx: State of the Union,2005-04-27,35.029,"[28, 12, 80, 9648, 53]",5.018
The Bourne Identity,2002-06-14,33.277,"[28, 18, 9648, 53]",7.5
The Road to El Dorado,2000-03-31,32.776,"[10751, 12, 16, 35, 14]",7.254
Ghostbusters II,1989-06-16,41.275,"[35, 14]",6.541
The New Mutants,2020-04-02,46.035,"[878, 27, 28, 9648, 12]",6.126
The Kissing Booth 3,2021-08-11,29.793,"[10749, 35]",6.934
Carter,2022-08-05,41.804,"[28, 53, 80]",6.024
Mortal Kombat Legends: Scorpion's Revenge,2020-04-12,38.032,"[16, 28, 14]",8.111
Puss in Boots,2011-10-27,39.021,"[16, 10751, 14, 12, 35]",6.549
Teenage Mutant Ninja Turtles,1990-03-30,38.514,"[878, 28, 12, 35, 10751]",6.631
Elite Squad: The Enemy Within,2010-10-08,28.767,"[18, 28, 80]",7.819
A Million Ways to Die in the West,2014-05-22,33.766,"[35, 37]",6.023
Samaritan,2022-08-25,36.547,"[878, 80, 28]",6.747
You Only Live Twice,1967-06-13,40.012,"[28, 53, 12]",6.57
The Hating Game,2021-12-09,60.764,"[18, 35, 10749]",7.413
Lone Survivor,2013-12-24,32.264,"[10752, 28, 18]",7.43
The Purity of Vengeance,2018-10-04,27.519,"[80, 53, 9648, 18]",7.179
Moana,2025-06-27,50.797,"[12, 35, 10751, 14]",0.0
National Treasure: Book of Secrets,2007-12-13,37.167,"[28, 12, 9648, 53]",6.345
SAS: Red Notice,2021-08-11,37.141,"[18, 28, 53]",5.814
Fear PHarm 2,2021-10-19,37.121,[27],5.318
Alexander,2004-11-21,37.111,"[10752, 36, 28, 12, 18, 10749]",5.937
The Locksmith,2023-02-03,37.094,"[9648, 53, 28, 80, 18]",5.814
All Things Fair,1995-03-08,37.088,"[18, 10749, 10752]",6.5
Zodiac,2007-03-02,37.08,"[80, 18, 9648, 53]",7.52
Fantastic Four: Rise of the Silver Surfer,2007-06-13,37.066,"[878, 12, 28]",5.6
Ghost Rider,2007-01-15,37.047,"[53, 28, 14]",5.56
Agnes,2021-12-10,37.01,"[27, 18]",4.135
Kill Bill: Vol. 2,2004-04-16,37.008,"[28, 80, 53]",7.877
The Trip 7,2023-12-25,36.983,"[35, 10751]",0.0
Sleepless in Seattle,1993-06-24,36.978,"[35, 18, 10749]",6.7
Commando,1985-10-03,36.974,"[28, 12, 53]",6.672
Leap Year,2010-01-08,36.955,"[10749, 35]",6.892
Polaroid,2019-01-10,36.91,"[27, 53, 9648]",6.017
Back to the Future Part III,1990-05-25,36.881,"[12, 35, 878]",7.47
No Strings Attached,2011-01-21,36.871,"[35, 10749]",6.294
The Hunt,2020-03-11,36.863,"[28, 53, 27]",6.646
Die Hard 2,1990-07-03,36.859,"[28, 53]",6.938
Descendants,2015-07-31,38.71,"[10751, 10402, 12, 35, 14, 10770]",7.113
The Girl Next Door,2004-04-09,37.451,"[35, 10749]",6.719
National Lampoon's Vacation,1983-07-29,34.447,"[35, 12]",7.119
Stand by Me,1986-08-08,32.196,"[80, 18]",7.849
Winnie-the-Pooh: Blood and Honey 2,2024-03-23,42.971,"[27, 53]",0.0
Home Alone 4,2002-11-03,42.945,"[35, 10751, 10770]",4.488
Lilo & Stitch 2: Stitch Has a Glitch,2005-01-22,33.695,"[16, 10751, 35, 878]",6.627
101 Dalmatians II: Patch's London Adventure,2002-11-06,26.944,"[10751, 12, 35, 16]",6.0
Gone in Sixty Seconds,2000-06-09,36.193,"[28, 80, 53]",6.419
Bad Sister,2015-08-24,29.447,"[53, 10770]",6.645
Coup de Chance,2023-09-15,44.815,"[35, 18, 10749]",6.435
Joy,2015-12-24,38.444,"[18, 35]",6.525
Beautiful Teacher in Torture Hell,1985-12-14,40.879,"[18, 53, 27]",5.7
Nefarious,2023-04-14,51.247,"[27, 53]",6.915
Restore Point,2023-09-21,38.696,"[878, 80, 53]",6.413
Dirty Dancing,1987-08-21,39.18,"[18, 10402, 10749]",7.343
American Wedding,2003-08-01,49.93,"[35, 10749]",6.213
The Naked Gun: From the Files of Police Squad!,1988-12-02,32.179,"[35, 80]",7.253
Final Destination 5,2011-08-12,33.681,"[27, 9648]",6.106
Bosco,2024-02-02,30.078,"[18, 53]",6.857
Predators,2010-07-03,46.423,"[878, 28, 53]",6.248
American Pie Presents: Girls' Rules,2020-10-06,38.933,[35],6.2
Love Strange Love,1982-01-11,38.048,"[18, 36]",5.8
National Treasure: Book of Secrets,2007-12-13,37.167,"[28, 12, 9648, 53]",6.345
The Hateful Eight,2015-12-25,46.919,"[18, 9648, 37]",7.8
Naruto Shippuden the Movie: Blood Prison,2011-07-30,39.164,"[53, 16, 28, 35, 27, 9648]",7.3
He's All That,2021-08-27,28.181,"[35, 10749]",6.572
Paul,2011-02-14,35.662,"[12, 35, 878]",6.7
Demolition Man,1993-10-08,30.909,"[80, 28, 878]",6.704
Looking for Magical Doremi,2020-11-13,46.252,"[16, 35, 12, 14]",6.4
Dora and the Lost City of Gold,2019-08-08,32.416,"[12, 35, 10751, 14]",6.654
Maestro,2023-11-22,35.881,"[18, 10749, 10402]",6.4
Bound by Honor,1993-02-05,41.154,"[80, 28, 18, 53]",8.109
Epic Tails,2023-01-25,39.646,"[16, 12, 14, 10751, 35]",6.631
Trading Places,1983-06-07,46.397,[35],7.21
Skyscraper,2018-07-11,30.902,"[28, 53, 12]",6.315
The Fallout,2021-03-17,36.66,[18],7.657
The Art of Racing in the Rain,2019-08-08,28.402,"[18, 10749]",8.21
Annie,2014-12-19,33.101,"[35, 18, 10751]",6.243
Tom and Jerry: Willy Wonka and the Chocolate Factory,2017-06-28,30.394,"[10751, 16, 12, 35]",6.581
Annie,2014-12-19,33.101,"[35, 18, 10751]",6.243
Tom and Jerry: Willy Wonka and the Chocolate Factory,2017-06-28,30.394,"[10751, 16, 12, 35]",6.581
Resident Evil: Damnation,2012-09-25,27.381,"[16, 27, 28]",6.87
The Purge: Election Year,2016-06-29,32.881,"[28, 27, 53]",6.395
Sobreviviendo mis XV,2023-09-21,43.505,[35],7.547
Alvin and the Chipmunks: The Road Chip,2015-12-17,35.379,"[12, 16, 35, 10751]",6.025
The Lover,1992-01-22,35.617,"[18, 10749]",7.003
Rain Man,1988-12-12,34.117,[18],7.759
Wild Card,2015-01-14,34.118,"[53, 80, 28]",5.639
On the Edge,2006-11-24,36.716,[18],4.4
Don't Worry Darling,2022-09-21,28.651,"[53, 9648, 18]",6.801
SPY x FAMILY CODE: White,2023-12-22,33.078,"[16, 35, 12, 28]",7.1
Captain Miller,2024-01-11,34.812,"[28, 12]",7.286
The Monkey King,2023-08-11,39.46,"[16, 14, 12, 10751, 35]",6.753
The Garfield Movie,2024-05-23,34.065,"[16, 35, 10751]",0.0
Fresh,2022-03-03,34.381,"[27, 53]",6.997
The Hijacking of Flight 375,2023-12-07,34.548,"[53, 18]",8.25
Cleopatra,1963-06-12,25.855,"[18, 36, 10749]",7.05
Dumb and Dumber,1994-12-16,29.853,[35],6.62
There Will Be Blood,2007-12-26,39.353,[18],8.084
The Loft,2014-10-14,33.044,[53],6.412
The Second Wife,1998-11-05,41.799,"[35, 10749]",5.2
El Infierno,2010-09-03,43.35,"[18, 80, 35]",7.851
Nacho Libre,2006-06-16,37.347,"[35, 10751, 18]",6.38
Reality,2023-06-02,27.918,"[18, 53]",6.43
Cold Pursuit,2019-02-07,36.851,"[35, 28, 80, 53]",5.799
Corpus Christi,2019-09-10,33.602,[18],7.7
Deep Sea Mutant Snake,2022-08-27,47.686,"[53, 14, 27]",7.0
Jason Bourne,2016-07-27,35.096,"[28, 53, 9648, 18]",6.3
Unbreakable,2000-11-22,36.083,"[53, 18, 9648]",7.138
13 Going on 30,2004-04-13,33.079,"[35, 14, 10749]",6.742
Wind River,2017-08-03,39.833,"[80, 18, 9648, 53]",7.433
Army of Thieves,2021-10-27,34.348,"[28, 53, 80, 35]",6.855
A Nightmare on Elm Street,1984-11-09,39.326,[27],7.33
Akira,1988-07-16,34.324,"[16, 878, 28]",7.945
Star Trek Beyond,2016-07-07,34.577,"[28, 12, 878]",6.782
Fifty Shades of Black,2016-01-28,29.573,"[10749, 35]",4.867
Platoon,1986-12-19,33.068,"[18, 10752, 28]",7.746
American Pie Presents: Band Camp,2005-10-31,46.068,[35],5.473
The Angry Birds Movie 2,2019-08-02,41.573,"[16, 35, 12, 10751]",7.097
Atlantis: The Lost Empire,2001-06-02,36.007,"[16, 10751, 12, 878]",6.993
Daddy's Home 2,2017-11-09,36.0,[35],6.287
Hansel & Gretel: Witch Hunters,2013-01-17,35.965,"[14, 27, 28]",6.041
Wolf,2021-12-03,35.925,[18],5.221
Escape from the Planet of the Apes,1971-05-20,35.915,"[28, 878]",6.321
Barbie: Princess Charm School,2011-08-11,35.899,"[10751, 16, 14]",7.473
Umma,2022-03-18,35.897,"[27, 9648]",5.386
They Call Me Jeeg,2016-02-25,35.893,"[18, 28, 35]",7.438
The Big Lebowski,1998-03-06,35.893,"[35, 80]",7.84
Maestro,2023-11-22,35.881,"[18, 10749, 10402]",6.439
Savage Salvation,2022-12-02,35.877,[53],6.424
Robin Hood,1973-11-08,35.86,"[16, 10751]",7.297
Lethal Weapon,1987-03-06,35.856,"[12, 28, 35, 53, 80]",7.293
The Ledge,2022-02-18,35.851,"[53, 12]",6.5
Stonehearst Asylum,2014-10-23,35.846,"[53, 9648, 27]",6.837
"2025: Blood, White & Blue",2022-07-01,35.843,"[27, 28, 35]",4.25
Batman Returns,1992-06-19,35.841,"[28, 14]",6.919
Live Free or Die Hard,2007-06-20,35.821,"[28, 53]",6.618
The Dive,2023-08-24,35.805,[53],6.504
The Great Wall,2016-12-16,35.804,"[28, 12, 14]",6.01
Seed of Chucky,2004-11-12,34.27,"[35, 27]",5.4
Ong-Bak,2003-01-21,29.017,"[28, 53, 80, 12]",7.1
The Darkest Minds,2018-07-25,33.768,"[28, 12, 18]",7.037
Tinker Bell and the Lost Treasure,2009-09-03,35.004,"[16, 10751, 12, 14]",6.777
Tombstone,1993-12-25,57.752,"[37, 28]",7.6
Deuce Bigalow: Male Gigolo,1999-12-10,37.753,[35],5.971
Jigsaw,2017-10-25,32.757,"[27, 9648, 53]",6.226
Notting Hill,1999-05-21,34.25,"[10749, 35]",7.3
The Remaining,2014-08-25,34.253,"[53, 27]",6.025
The Key,1983-10-19,52.996,"[18, 10749]",5.949
The Conference,2023-10-13,33.398,"[27, 35, 53]",5.366
The First Slam Dunk,2022-12-03,33.785,"[16, 35, 18]",7.7
Day Shift,2022-08-12,33.774,"[28, 14, 27, 35]",6.817
The Heist of the Century,2020-01-16,31.998,"[35, 53, 80]",7.8
Snow White and the Huntsman,2012-05-30,33.739,"[12, 14, 18]",5.985
Mission: Impossible II,2000-05-24,33.484,"[12, 28, 53]",6.1
Totally Killer,2023-09-28,34.617,"[35, 27, 878]",6.924
IF,2024-05-15,41.201,"[35, 14, 18, 10751]",0.0
Dragonheart: Vengeance,2020-02-04,33.477,"[14, 28, 12]",6.9
Spirit Untamed,2021-05-20,30.232,"[16, 12, 10751, 37]",7.245
American History X,1998-07-01,32.464,[18],8.347
Horrible Bosses 2,2014-11-12,42.302,[35],6.182
Arthur and the Revenge of Maltazard,2009-11-26,24.845,"[12, 14, 16, 10751]",5.7
Takas,2024-02-13,36.148,[18],8.5
Halloween Ends,2022-10-12,37.743,"[27, 53]",6.15
RoboCop,2014-01-30,32.457,"[878, 28, 80]",5.857
Ghostland,2018-03-14,32.456,"[27, 9648, 53]",7.361
A Haunted House,2013-01-11,42.701,"[35, 27]",5.874
Dragon Ball Z: The Tree of Might,1990-06-07,33.447,"[28, 16, 878]",6.487
The Mummy,2017-06-06,31.293,"[14, 53, 28, 12, 27]",5.505
Cinema Paradiso,1988-11-17,44.945,"[18, 10749]",8.452
Fog City,2023-10-20,41.657,"[27, 53]",5.3
S.W.A.T.,2003-08-08,28.694,"[28, 53, 80]",6.154
Black Hawk Down,2001-12-28,36.193,"[28, 10752, 36]",7.372
"2025: Blood, White & Blue",2022-07-01,35.843,"[27, 28, 35]",4.25
Aristotle and Dante Discover the Secrets of the Universe,2023-09-08,24.976,"[18, 10749]",7.9
The Evil Dead,1981-09-10,33.434,[27],7.308
Abominable,2019-09-19,33.193,"[10751, 16, 12, 35]",7.494
The Return of Jafar,1994-05-20,30.431,"[10751, 12, 16, 10749]",6.249
Scream 4,2011-04-13,27.683,"[27, 9648]",6.465
R.I.P.D.,2013-07-18,27.681,"[14, 28, 35]",5.825
Creation of the Gods II: Demonic Confrontation,,24.709,"[28, 14, 10752]",0.0
Back to the Future Part III,1990-05-25,36.881,"[12, 35, 878]",7.47
Rocky Balboa,2006-12-20,39.926,[18],6.864
The Last Duel,2021-10-13,31.944,"[36, 18, 28]",7.451
Clueless,1995-07-19,29.172,"[35, 10749, 18]",7.277
